[2026-09-19T01:12:51Z] === ENRICH ITERATION 3 START | repo=mhammond/pywin32 sha=8a2bb033 ===
[2026-09-19T01:12:51Z] [iter=3] PHASE START: enrich repo=mhammond/pywin32 sha=8a2bb033 runlog=/home/runner/work/forx/forx/storage/aggregate/lsp/logs/8a2bb033-enrich-iter-003.log output=/home/runner/work/forx/forx/storage/aggregate/lsp/8a2bb0337d9fc48b651c18db50f33a7c17827d66.nq.gz
[2026-09-19T01:12:51Z] [iter=3] Step 1: Loading AST into disk-backed store mem_mb=78 MB
[2026-09-19T01:16:11Z] [iter=3] AST store loaded triples=11181001 load_secs=197 mem_mb=1008 MB
[2026-09-19T01:16:11Z] [iter=3] Step 2: Finding LSP targets mem_mb=1008 MB
[2026-09-19T01:16:25Z] [iter=3] LSP targets found call_sites=83208 imports=0 extends=709 implements=0 secs=14
[2026-09-19T01:16:27Z] [iter=3] Loaded checkpoint partial graph triples=49899
[2026-09-19T01:16:36Z] [iter=3] Step 2.7: Building position index (one-shot, shared across resolvers) mem_mb=1008 MB
[2026-09-19T01:17:24Z] [iter=3] Position index built positions=815965 nodes_with_types=1014156 secs=49 mem_mb=1868 MB
[2026-09-19T01:17:24Z] [iter=3] Step 3: Starting LSP resolution mem_mb=1868 MB already_completed_types=[] already_completed_files=133
[2026-09-19T01:17:24Z] [iter=3] Resolving target type target_type=call_site count=83208
[2026-09-19T01:17:26Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=4.6 files_done=0 resolved=0 errors=0 current=Pythonwin/Scintilla/src/LexPython.cxx
[2026-09-19T01:18:49Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=6.0 files_done=1 resolved=6 errors=30 current=com/win32comext/axdebug/src/PyIApplicationDebugger.cpp
[2026-09-19T01:19:43Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=6.9 files_done=3 resolved=7 errors=50 current=com/win32comext/shell/src/PyIRelatedItem.cpp
[2026-09-19T01:21:49Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=9.0 files_done=6 resolved=7 errors=97 current=Pythonwin/pythonpsheet.cpp
[2026-09-19T01:22:43Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=9.9 files_done=10 resolved=7 errors=117 current=com/win32com/src/extensions/PyIBindCtx.cpp
[2026-09-19T01:24:08Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=11.3 files_done=16 resolved=21 errors=148 current=Pythonwin/Scintilla/src/LexNsis.cxx
[2026-09-19T01:25:32Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=12.7 files_done=17 resolved=24 errors=179 current=com/win32comext/shell/src/PyIEmptyVolumeCache.cpp
[2026-09-19T01:27:51Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=15.0 files_done=20 resolved=41 errors=230 current=win32/src/odbc.cpp
[2026-09-19T01:30:40Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=17.8 files_done=21 resolved=62 errors=290 current=com/win32comext/axcontrol/src/PyIOleInPlaceSiteWindowless.cpp
[2026-09-19T01:31:40Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=18.8 files_done=22 resolved=62 errors=312 current=Pythonwin/win32uiole.cpp
[2026-09-19T01:32:17Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=19.4 files_done=23 resolved=62 errors=326 current=com/win32comext/shell/src/PyIFileOperation.cpp
[2026-09-19T01:33:11Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=20.3 files_done=24 resolved=62 errors=345 current=com/win32com/src/univgw.cpp
[2026-09-19T01:33:54Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=21.0 files_done=26 resolved=65 errors=360 current=win32/src/PerfMon/perfmondata.cpp
[2026-09-19T01:37:30Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=24.6 files_done=29 resolved=65 errors=490 current=win32/src/win32security_sspi.cpp
[2026-09-19T01:39:04Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=26.2 files_done=30 resolved=66 errors=524 current=com/win32com/src/extensions/PyIPersistFile.cpp
[2026-09-19T01:51:48Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=38.9 files_done=32 resolved=66 errors=788 current=com/TestSources/PyCOMTest/DSCArrayTest.h
[2026-09-19T01:53:33Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=40.7 files_done=36 resolved=77 errors=824 current=com/win32comext/ifilter/src/PyIFilter.cpp
[2026-09-19T01:55:09Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=42.3 files_done=37 resolved=77 errors=857 current=com/win32comext/axdebug/src/PyIDebugProperties.cpp
[2026-09-19T01:55:49Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=43.0 files_done=38 resolved=77 errors=871 current=com/win32comext/shell/src/PyIUniformResourceLocator.cpp
[2026-09-19T01:56:37Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=43.8 files_done=41 resolved=77 errors=888 current=com/win32com/src/extensions/PyICreateTypeInfo.cpp
[2026-09-19T02:00:08Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=47.3 files_done=43 resolved=77 errors=964 current=Pythonwin/Scintilla/src/LexEScript.cxx
[2026-09-19T02:01:38Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=48.8 files_done=44 resolved=100 errors=996 current=com/win32com/src/include/PyIPersistStreamInit.h
[2026-09-19T02:02:14Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=49.4 files_done=46 resolved=100 errors=1009 current=Pythonwin/win32toolbar.cpp
[2026-09-19T02:06:21Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=53.5 files_done=47 resolved=100 errors=1097 current=com/win32com/src/extensions/PyGStream.cpp
[2026-09-19T02:11:52Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=59.0 files_done=49 resolved=100 errors=1209 current=com/win32comext/axdebug/src/PyIDebugExpressionContext.cpp
[2026-09-19T02:13:07Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=60.3 files_done=52 resolved=111 errors=1236 current=com/win32comext/propsys/src/PyIPropertyDescription.cpp
[2026-09-19T02:14:01Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=61.2 files_done=53 resolved=111 errors=1255 current=win32/src/PySECURITY_ATTRIBUTES.cpp
[2026-09-19T02:14:31Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=61.7 files_done=56 resolved=111 errors=1266 current=com/win32com/src/extensions/PyTYPEATTR.cpp
[2026-09-19T02:15:16Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=62.4 files_done=57 resolved=111 errors=1282 current=Pythonwin/pythonview.cpp
[2026-09-19T02:15:55Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=63.1 files_done=58 resolved=111 errors=1296 current=Pythonwin/Scintilla/src/KeyWords.cxx
[2026-09-19T02:20:02Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=67.2 files_done=59 resolved=111 errors=1385 current=com/win32com/src/PyComHelpers.cpp
[2026-09-19T02:21:14Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=68.4 files_done=61 resolved=111 errors=1411 current=Pythonwin/Scintilla/src/LexR.cxx
[2026-09-19T02:22:15Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=69.4 files_done=62 resolved=115 errors=1433 current=Pythonwin/Scintilla/win32/ScintillaWin.cxx
[2026-09-19T02:26:03Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=73.2 files_done=63 resolved=125 errors=1515 current=com/win32comext/axscript/src/PyGActiveScript.cpp
[2026-09-19T02:29:51Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=77.0 files_done=66 resolved=131 errors=1599 current=com/win32comext/authorization/src/PyGSecurityInformation.cpp
[2026-09-19T02:30:46Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=77.9 files_done=68 resolved=131 errors=1619 current=com/win32comext/shell/src/PyICategorizer.cpp
[2026-09-19T02:32:41Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=79.8 files_done=71 resolved=134 errors=1660 current=Pythonwin/win32dlg.h
[2026-09-19T02:33:20Z] [iter=3] HEARTBEAT target_type=call_site elapsed_min=80.5 files_done=76 resolved=134 errors=1674 current=com/win32comext/axcontrol/src/PyIOleInPlaceActiveObject.cpp
