[2026-09-20T11:08:23Z] === ENRICH ITERATION 5 START | repo=mhammond/pywin32 sha=ee8ff7ba ===
[2026-09-20T11:08:23Z] [iter=5] PHASE START: enrich repo=mhammond/pywin32 sha=ee8ff7ba runlog=/home/runner/work/forx/forx/storage/aggregate/lsp/logs/ee8ff7ba-enrich-iter-005.log output=/home/runner/work/forx/forx/storage/aggregate/lsp/ee8ff7ba36a11e59732c55b5d01434a16a90818d.nq.gz
[2026-09-20T11:08:23Z] [iter=5] Step 1: Loading AST into disk-backed store mem_mb=78 MB
[2026-09-20T11:10:13Z] [iter=5] AST store loaded triples=10469515 load_secs=105 mem_mb=1046 MB
[2026-09-20T11:10:13Z] [iter=5] Step 2: Finding LSP targets mem_mb=1046 MB
[2026-09-20T11:10:30Z] [iter=5] LSP targets found call_sites=75775 imports=0 extends=600 implements=0 secs=18
[2026-09-20T11:10:37Z] [iter=5] Loaded checkpoint partial graph triples=162645
[2026-09-20T11:10:48Z] [iter=5] Step 2.7: Building position index (one-shot, shared across resolvers) mem_mb=1046 MB
[2026-09-20T11:11:57Z] [iter=5] Position index built positions=759954 nodes_with_types=945839 secs=69 mem_mb=2100 MB
[2026-09-20T11:11:57Z] [iter=5] Step 3: Starting LSP resolution mem_mb=2100 MB already_completed_types=[] already_completed_files=653
[2026-09-20T11:11:57Z] [iter=5] Resolving target type target_type=call_site count=75775
[2026-09-20T11:12:01Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=3.6 files_done=0 resolved=0 errors=0 current=com/win32com/src/extensions/PyIPropertyStorage.cpp
[2026-09-20T11:12:57Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=4.6 files_done=2 resolved=0 errors=13 current=Pythonwin/Scintilla/src/LexOpal.cxx
[2026-09-20T11:14:50Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=6.4 files_done=5 resolved=22 errors=39 current=Pythonwin/Scintilla/src/LexErlang.cxx
[2026-09-20T11:15:55Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=7.5 files_done=9 resolved=25 errors=167 current=Pythonwin/Scintilla/src/LexCrontab.cxx
